Breed,Affectionate with Family,Amount of Shedding,Easy to Groom,General Health,Intelligence,Kid Friendly,Pet Friendly,Potential for Playfulness,Friendly Toward Strangers,Tendency to Vocalize
Abyssinian,3.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,,
American Bobtail,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0
American Curl,5.0,4.0,4.0,5.0,,4.0,4.0,4.0,4.0,5.0
American Shorthair,3.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,
American Wirehair,4.0,3.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,
Balinese,4.0,3.0,4.0,2.0,,4.0,4.0,4.0,4.0,1.0
Bengal Cats,5.0,2.0,4.0,3.0,5.0,5.0,5.0,5.0,,2.0
Birman,5.0,3.0,2.0,2.0,4.0,5.0,5.0,4.0,,4.0
Bombay,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0
British Shorthair,3.0,3.0,4.0,4.0,,4.0,,2.0,4.0,4.0
Burmese,5.0,2.0,5.0,2.0,5.0,5.0,4.0,4.0,5.0,
Burmilla,4.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,,
Chartreux,3.0,4.0,2.0,4.0,,3.0,4.0,3.0,3.0,5.0
Chinese Li Hua,,,,,,,,,,
Colorpoint Shorthair,5.0,2.0,4.0,2.0,4.0,4.0,4.0,5.0,,1.0
Cornish Rex,5.0,2.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,2.0
Cymric,5.0,4.0,2.0,3.0,4.0,3.0,3.0,,4.0,2.0
Devon Rex,5.0,1.0,5.0,1.0,4.0,5.0,4.0,4.0,5.0,3.0
Egyptian Mau,5.0,3.0,4.0,4.0,,4.0,3.0,4.0,2.0,2.0
European Burmese,5.0,2.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0
Exotic,4.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,,5.0
Havana Brown,5.0,3.0,5.0,4.0,,4.0,4.0,3.0,3.0,
Himalayan,4.0,5.0,1.0,2.0,,2.0,2.0,1.0,2.0,
Japanese Bobtail,5.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,,1.0
Javanese,5.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0
Korat,5.0,1.0,5.0,4.0,,3.0,3.0,,2.0,5.0
LaPerm,4.0,2.0,4.0,4.0,,4.0,4.0,5.0,4.0,5.0
Maine Coon,3.0,4.0,4.0,3.0,,5.0,5.0,4.0,2.0,4.0
Manx,4.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0
Nebelung,4.0,4.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,
Norwegian Forest,2.0,4.0,2.0,2.0,,4.0,4.0,,2.0,4.0
Ocicat,4.0,2.0,4.0,3.0,4.0,4.0,3.0,,4.0,2.0
Oriental,,,,,,,,,,1.0
Persian,3.0,5.0,,2.0,,2.0,2.0,2.0,2.0,3.0
Pixie-Bob,5.0,4.0,2.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0
Ragamuffin,5.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,
Ragdoll Cats,5.0,4.0,1.0,3.0,4.0,5.0,4.0,4.0,,4.0
Russian Blue,4.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,
Savannah,4.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0
Scottish Fold,5.0,3.0,2.0,3.0,4.0,5.0,4.0,3.0,,
Selkirk Rex,4.0,4.0,2.0,3.0,,5.0,4.0,4.0,,2.0
Siamese Cat,,,,,,,,,,
Siberian,5.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,2.0
Singapura,5.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0
Snowshoe,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0
Somali,5.0,4.0,3.0,2.0,5.0,5.0,5.0,5.0,4.0,
Sphynx,5.0,1.0,2.0,2.0,4.0,5.0,5.0,4.0,5.0,
Tonkinese,5.0,2.0,4.0,2.0,5.0,5.0,4.0,5.0,3.0,1.0
Turkish Angora,5.0,2.0,4.0,3.0,4.0,3.0,3.0,5.0,4.0,
Turkish Van,3.0,2.0,4.0,4.0,5.0,3.0,3.0,4.0,2.0,
